txid,from,to,amount
530,Checking,IIT,1350.0,
531,Checking,Trader Joes,50.0,
532,Checking,Trader Joes,50.0,
533,Checking,Target,50.0,
534,Checking,Target,50.0,
535,Checking,Trader Joes,50.0,
536,Chase_CC,Trader Joes,50.0,
537,Chase_CC,Target,50.0,
538,Chase_CC,Trader Joes,50.0,
539,Chase_CC,Target,50.0,
540,Chase_CC,Target,50.0,
541,Chase_CC,Trader Joes,50.0,
542,Chase_CC,Trader Joes,50.0,
543,Chase_CC,Trader Joes,50.0,
544,Chase_CC,Nails R Us,90.0,
545,Checking,Chase_CC,400.0,
546,Checking,Lease,350.0,
547,Checking,Lease,350.0,
548,Checking,Lease,350.0,
549,Checking,Lease,350.0,
550,Checking,Houston,350.0,
551,Checking,Geico,350.0,
