txid,from,to,amount
500,AECOM,Checking,1500.0,
502,AECOM,Checking,1500.0,
504,Dance,Checking,50.0,
505,Dance,Checking,60.0,
506,Dance,Checking,50.0,
507,Dance,Checking,60.0,
508,Dance,Checking,50.0,
509,Dance,Checking,60.0,
510,Dance,Checking,50.0,
511,Dance,Checking,60.0,
512,Dance,Checking,50.0,
513,Dance,Checking,50.0,
514,Dance,Checking,60.0,
515,Dance,Checking,50.0,
516,Dance,Checking,60.0,
517,Dance,Checking,60.0,
518,Dance,Checking,50.0,
519,Dance,Checking,60.0,
520,Farm,Checking,350.0,
521,Farm,Checking,350.0,
522,Farm,Checking,350.0,
523,Farm,Checking,350.0,
524,Farm,Checking,350.0,
525,Farm,Checking,350.0,
526,Farm,Checking,350.0,
527,Farm,Checking,350.0,
528,Mom,Checking,200.0,
529,Target,Checking,150.0,
