txid,from,to,amount
500,AECOM,Checking,1500.0,
502,AECOM,Checking,1500.0,
504,Dance,Checking,50.0,
505,Dance,Checking,60.0,
506,Dance,Checking,50.0,
507,Dance,Checking,60.0,
508,Dance,Checking,50.0,
509,Dance,Checking,60.0,
510,Dance,Checking,50.0,
511,Dance,Checking,60.0,
512,Dance,Checking,50.0,
513,Dance,Checking,50.0,
514,Dance,Checking,60.0,
515,Dance,Checking,50.0,
516,Dance,Checking,60.0,
517,Dance,Checking,60.0,
518,Dance,Checking,50.0,
519,Dance,Checking,60.0,
520,Farm,Checking,350.0,
521,Farm,Checking,350.0,
522,Farm,Checking,350.0,
523,Farm,Checking,350.0,
524,Farm,Checking,350.0,
525,Farm,Checking,350.0,
526,Farm,Checking,350.0,
527,Farm,Checking,350.0,
528,Mom,Checking,200.0,
529,Target,Checking,150.0,
530,Checking,IIT,1350.0,
531,Checking,Trader Joes,50.0,
532,Checking,Trader Joes,50.0,
533,Checking,Target,50.0,
534,Checking,Target,50.0,
535,Checking,Trader Joes,50.0,
536,Chase_CC,Trader Joes,50.0,
537,Chase_CC,Target,50.0,
538,Chase_CC,Trader Joes,50.0,
539,Chase_CC,Target,50.0,
540,Chase_CC,Target,50.0,
541,Chase_CC,Trader Joes,50.0,
542,Chase_CC,Trader Joes,50.0,
543,Chase_CC,Trader Joes,50.0,
544,Chase_CC,Nails R Us,90.0,
545,Checking,Chase_CC,400.0,
546,Checking,Lease,350.0,
547,Checking,Lease,350.0,
548,Checking,Lease,350.0,
549,Checking,Lease,350.0,
550,Checking,Houston,350.0,
551,Checking,Geico,350.0,
